model1,country1,model2,country2,symbol,industry,country,covariance,r_coeff,std1,std2,time
Cohere,Canada,Gemini,US,GM,auto,US,0.2567,0.896493011882542,0.4079215610874229,0.5615549839508145,daily
Cohere,Canada,Gemini,US,T,comm,US,0.04920000000000018,0.9177539328482773,0.21354156504062666,0.20083824337013148,daily
Cohere,Canada,Gemini,US,BABA,tech,China,15.602499999999996,0.9849997767320192,3.1368774282716245,4.039712861083074,daily
Cohere,Canada,Gemini,US,1211.HK,auto,China,213.5100000000001,0.9797450277965257,10.423051376636305,16.726314597065315,daily
Cohere,Canada,Gemini,US,0941.HK,comm,China,0.11300000000000032,0.9906850802304613,0.2576819745345033,0.35411862419251505,daily
Cohere,Canada,Gemini,US,DTE.DE,comm,EU,0.015900000000000004,0.8663403022597685,0.10770329614269003,0.13632314550361596,daily
Cohere,Canada,Gemini,US,MBGYY,auto,EU,0.15315000000000004,0.9795163197807747,0.348711915483254,0.35869764426324297,daily
Cohere,Canada,Gemini,US,IFNNY,tech,EU,0.07624999999999993,0.98057864857324,0.18973665961010283,0.32786582621554183,daily
Cohere,Canada,Gemini,US,SPX,index,US,2024.0250000000012,0.987381280691112,37.62977544445356,43.58021248227231,daily
Cohere,Canada,Gemini,US,FXI,index,China,0.3285000000000006,0.9996848465655976,0.48826222462934893,0.5384050519822414,daily
Cohere,Canada,GPT,US,AMZN,tech,US,7.074999999999999,0.9772854567743984,2.280350850198276,2.539763768542263,daily
Cohere,Canada,GPT,US,GM,auto,US,0.21500000000000014,0.867952152323096,0.4079215610874229,0.4857983120596448,daily
Cohere,Canada,GPT,US,T,comm,US,0.03649999999999995,0.7372609114626819,0.21354156504062666,0.18547236990991395,daily
Cohere,Canada,GPT,US,BABA,tech,China,15.175000000000004,0.9840202953634201,3.1368774282716245,3.9329378332234053,daily
Cohere,Canada,GPT,US,1211.HK,auto,China,204.35,0.9805473104547877,10.423051376636305,15.995624401691858,daily
Cohere,Canada,GPT,US,0941.HK,comm,China,0.11649999999999977,0.9970201326492356,0.2576819745345033,0.36276714294433926,daily
Cohere,Canada,GPT,US,DTE.DE,comm,EU,0.016875000000000064,0.8863184218031261,0.10770329614269003,0.14142135623731025,daily
Cohere,Canada,GPT,US,MBGYY,auto,EU,0.15775000000000028,0.9835200894269827,0.348711915483254,0.3679673898594825,daily
Cohere,Canada,GPT,US,IFNNY,tech,EU,0.07500000000000008,0.9694584179118508,0.18973665961010283,0.3261901286060022,daily
Cohere,Canada,GPT,US,SPX,index,US,2100.0,0.9933492548297489,37.62977544445356,44.94441010848846,daily
Cohere,Canada,GPT,US,FXI,index,China,0.33025000000000015,0.9986232247482907,0.48826222462934893,0.5418486873657621,daily
Cohere,Canada,Mistral,EU,AMZN,tech,US,6.7047370870585645,0.9846343920313357,2.280350850198276,2.388884027265553,daily
Cohere,Canada,Mistral,EU,GM,auto,US,0.20196184840227976,0.7890184828417353,0.4079215610874229,0.5019904858421886,daily
Cohere,Canada,Mistral,EU,T,comm,US,0.04963455169442329,0.965589857599204,0.21354156504062666,0.19257458646799772,daily
Cohere,Canada,Mistral,EU,BABA,tech,China,12.660514271489284,0.9658637352733407,3.1368774282716245,3.3429349421109475,daily
Cohere,Canada,Mistral,EU,1211.HK,auto,China,219.44790508183624,0.9715993516852723,10.423051376636305,17.335618118715626,daily
Cohere,Canada,Mistral,EU,0941.HK,comm,China,0.14436350347478913,0.8534724542186138,0.2576819745345033,0.5251384906961021,daily
Cohere,Canada,Mistral,EU,DTE.DE,comm,EU,0.02221471414898659,0.7745774225123525,0.10770329614269003,0.21302809694723943,daily
Cohere,Canada,Mistral,EU,MBGYY,auto,EU,0.15298615448480782,0.9462718533406086,0.348711915483254,0.3709021966495504,daily
Cohere,Canada,Mistral,EU,IFNNY,tech,EU,0.09156110303055803,0.9609908624637051,0.18973665961010283,0.4017265123091903,daily
Cohere,Canada,Mistral,EU,SPX,index,US,2155.825661363851,0.8968616032204932,37.62977544445356,51.103020015127754,daily
Cohere,Canada,Mistral,EU,FXI,index,China,0.333145141260734,0.9780877898423921,0.48826222462934893,0.5580749227645431,daily
Cohere,Canada,Deepseek,China,AMZN,tech,US,6.812500000000007,0.9828083958053413,2.280350850198276,2.4317894645713083,daily
Cohere,Canada,Deepseek,China,GM,auto,US,0.25250000000000017,0.9040950284747847,0.4079215610874229,0.5477225575051659,daily
Cohere,Canada,Deepseek,China,T,comm,US,0.051000000000000094,0.927886408827176,0.21354156504062666,0.2059126028197404,daily
Cohere,Canada,Deepseek,China,BABA,tech,China,15.899999999999991,0.9848704117865067,3.1368774282716245,4.117280655966992,daily
Cohere,Canada,Deepseek,China,1211.HK,auto,China,215.42999999999998,0.9798577184082098,10.423051376636305,16.874785924568048,daily
Cohere,Canada,Deepseek,China,0941.HK,comm,China,0.11200000000000095,0.9938784203880047,0.2576819745345033,0.34985711369071965,daily
Cohere,Canada,Deepseek,China,DTE.DE,comm,EU,0.01524999999999982,0.8350681592449207,0.10770329614269003,0.13564659966250456,daily
Cohere,Canada,Deepseek,China,MBGYY,auto,EU,0.15850000000000009,0.9774272012166053,0.348711915483254,0.3720215047547655,daily
Cohere,Canada,Deepseek,China,IFNNY,tech,EU,0.075,0.9805806756909198,0.18973665961010283,0.3224903099319419,daily
Cohere,Canada,Deepseek,China,SPX,index,US,2048.2999999999975,0.9880701468312211,37.62977544445356,44.072140860185094,daily
Cohere,Canada,Deepseek,China,FXI,index,China,0.3250000000000009,0.9992198488156314,0.48826222462934893,0.5329165037789697,daily
Cohere,Canada,Doubao,China,AMZN,tech,US,7.537500000000001,0.9803232327303821,2.280350850198276,2.6974061614818043,daily
Cohere,Canada,Doubao,China,GM,auto,US,0.2525000000000001,0.8699658467715319,0.4079215610874229,0.5692099788303081,daily
Cohere,Canada,Doubao,China,T,comm,US,0.0510000000000001,0.9278864088271761,0.21354156504062666,0.2059126028197404,daily
Cohere,Canada,Doubao,China,BABA,tech,China,15.325000000000001,0.9789235183645106,3.1368774282716245,3.9924929555354254,daily
